case_id,track_id,selected_feature,grouped_shap_value
case_007,3Ofmpyhv5UAQ70mENzB277,loudness_energy,-0.1738801896572113
case_007,3Ofmpyhv5UAQ70mENzB277,year_in_decade,0.15107133984565735
case_007,3Ofmpyhv5UAQ70mENzB277,loudness,-0.10967926681041718
case_007,3Ofmpyhv5UAQ70mENzB277,speechiness_explicit,-0.08952721208333969
case_007,3Ofmpyhv5UAQ70mENzB277,energy,0.07874348014593124
case_007,3Ofmpyhv5UAQ70mENzB277,energy_danceability,-0.07240664213895798
case_007,3Ofmpyhv5UAQ70mENzB277,duration_squared,-0.0436922125518322
case_007,3Ofmpyhv5UAQ70mENzB277,key,-0.049121766118332744
case_007,3Ofmpyhv5UAQ70mENzB277,release_month_cos,-0.04119684547185898
case_007,3Ofmpyhv5UAQ70mENzB277,energy_valence,0.04094918817281723
case_007,3Ofmpyhv5UAQ70mENzB277,valence,-0.04013083875179291
case_007,3Ofmpyhv5UAQ70mENzB277,instrumentalness,0.03924011439085007
case_007,3Ofmpyhv5UAQ70mENzB277,release_precision,0.055513322819024324
case_007,3Ofmpyhv5UAQ70mENzB277,energy_liveness,-0.031953223049640656
case_007,3Ofmpyhv5UAQ70mENzB277,time_signature,0.04110668453108701
case_007,3Ofmpyhv5UAQ70mENzB277,danceability_valence,-0.01757553219795227
case_007,3Ofmpyhv5UAQ70mENzB277,explicit,-0.008345978530996945
case_007,3Ofmpyhv5UAQ70mENzB277,liveness,-0.004247107543051243
case_007,3Ofmpyhv5UAQ70mENzB277,acousticness_instrumentalness,-0.0012765470892190933
case_008,3iw6V4LH7yPj1ESORX9RIN,release_year,9.871392250061035
case_008,3iw6V4LH7yPj1ESORX9RIN,duration_min,-5.433697700500488
case_008,3iw6V4LH7yPj1ESORX9RIN,decade,0.8478977084159851
case_008,3iw6V4LH7yPj1ESORX9RIN,loudness,0.7520912885665894
case_008,3iw6V4LH7yPj1ESORX9RIN,release_month,-0.7152913808822632
case_008,3iw6V4LH7yPj1ESORX9RIN,tempo,-0.6326180100440979
case_008,3iw6V4LH7yPj1ESORX9RIN,duration_log,-0.5714912414550781
case_008,3iw6V4LH7yPj1ESORX9RIN,acousticness,0.4533947706222534
case_008,3iw6V4LH7yPj1ESORX9RIN,key,-0.42186702659819275
case_008,3iw6V4LH7yPj1ESORX9RIN,speechiness,-0.3016020357608795
case_008,3iw6V4LH7yPj1ESORX9RIN,release_month_sin,-0.29811763763427734
case_008,3iw6V4LH7yPj1ESORX9RIN,loudness_energy,0.287776917219162
case_008,3iw6V4LH7yPj1ESORX9RIN,energy,0.2865994870662689
case_008,3iw6V4LH7yPj1ESORX9RIN,year_in_decade,-0.2681102454662323
case_008,3iw6V4LH7yPj1ESORX9RIN,mode,-0.2222798652946949
case_008,3iw6V4LH7yPj1ESORX9RIN,instrumentalness,0.19543951749801636
case_008,3iw6V4LH7yPj1ESORX9RIN,danceability,0.14305372536182404
case_008,3iw6V4LH7yPj1ESORX9RIN,danceability_valence,-0.10807624459266663
case_008,3iw6V4LH7yPj1ESORX9RIN,speechiness_explicit,-0.10625030845403671
case_008,3iw6V4LH7yPj1ESORX9RIN,acousticness_instrumentalness,0.08083585649728775
