case_id,track_id,transformed_feature,selected_feature,raw_feature_family,feature_value,shap_value,direction,mapping_status
case_002,6kn5loToxIwLHzk5A1fUob,key_0,key,key,0.0,0.024174915626645088,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,acousticness,acousticness,acousticness,0.515,0.02380049228668213,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,explicit_False,explicit,explicit,1.0,-0.023426908999681473,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_11,key,key,0.0,-0.01829356513917446,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,time_signature_3.0,time_signature,time_signature,0.0,0.017792265862226486,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_7,key,key,0.0,0.013997280038893223,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_6,key,key,0.0,-0.013246542774140835,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,tempo_danceability,tempo_danceability,tempo×danceability,68.746194,-0.01201748289167881,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,year_in_decade,year_in_decade,release_year,4.0,-0.011210921220481396,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,release_precision_month,release_precision,release_precision,0.0,-0.010337051004171371,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_9,key,key,0.0,0.009363450109958649,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_5,key,key,0.0,0.007037158124148846,INCREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_10,key,key,0.0,-0.00498149124905467,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_3,key,key,0.0,-0.0042600203305482864,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,key_4,key,key,0.0,-0.0040352181531488895,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,danceability,danceability,danceability,0.583,-0.0033483081497251987,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,duration_squared,duration_squared,duration_min,20.08204969,-0.0015019645215943456,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,time_signature_1.0,time_signature,time_signature,0.0,-0.0008182820747606456,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,explicit_True,explicit,explicit,0.0,-1.692484693194274e-05,DECREASE_PREDICTION,MAPPED
case_002,6kn5loToxIwLHzk5A1fUob,time_signature_5.0,time_signature,time_signature,0.0,9.047552339325193e-06,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,release_year,release_year,release_year,2014.0,10.83716869354248,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,danceability,danceability,danceability,0.87,2.1787328720092773,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,acousticness,acousticness,acousticness,0.102,1.7854444980621338,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,loudness,loudness,loudness,-4.52,0.9477394223213196,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,decade,decade,decade,2010.0,0.9461535215377808,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,loudness_energy,loudness_energy,loudness×energy,-2.94704,0.7235466241836548,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,duration_min,duration_min,duration_min,4.4666,0.5906888842582703,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,release_month_sin,release_month_sin,release_month,-0.8660254037844385,0.43439728021621704,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,release_month,release_month,release_month,8.0,0.325026273727417,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_11,key,key,1.0,0.3234272599220276,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,speechiness_explicit,speechiness_explicit,speechiness×explicit,0.0,-0.27747824788093567,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,energy_valence,energy_valence,energy×valence,0.43358,0.23361288011074066,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,tempo,tempo,tempo,105.02,0.2108919769525528,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,speechiness,speechiness,speechiness,0.0861,-0.20043431222438812,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,energy_danceability,energy_danceability,energy×danceability,0.56724,0.1636032611131668,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,mode_0,mode,mode,0.0,0.16204862296581268,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,liveness,liveness,liveness,0.0768,0.15619932115077972,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,danceability_valence,danceability_valence,danceability×valence,0.57855,0.11810442805290222,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,tempo_danceability,tempo_danceability,tempo×danceability,91.36739999999999,0.11234436184167862,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,acousticness_instrumentalness,acousticness_instrumentalness,acousticness×instrumentalness,3.2742e-05,0.09077256172895432,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,time_signature_4.0,time_signature,time_signature,1.0,0.0833396166563034,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,year_in_decade,year_in_decade,release_year,4.0,-0.0739821121096611,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_1,key,key,0.0,-0.05791214853525162,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_7,key,key,0.0,0.056148964911699295,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,duration_log,duration_log,duration_min,1.6986568509657307,0.05509062111377716,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,instrumentalness,instrumentalness,instrumentalness,0.000321,0.053208813071250916,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,energy,energy,energy,0.652,-0.04640943557024002,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_0,key,key,0.0,0.043606191873550415,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,release_precision_year,release_precision,release_precision,0.0,0.04037874564528465,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_2,key,key,0.0,0.03887094557285309,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,release_precision_day,release_precision,release_precision,1.0,0.038458533585071564,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,time_signature_3.0,time_signature,time_signature,0.0,0.035975340753793716,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,energy_liveness,energy_liveness,energy×liveness,0.050073599999999996,0.03579380735754967,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_8,key,key,0.0,-0.028616424649953842,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,valence,valence,valence,0.665,0.023694317787885666,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,explicit_False,explicit,explicit,1.0,-0.022631915286183357,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_6,key,key,0.0,-0.01946238987147808,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_9,key,key,0.0,0.011258753016591072,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,release_month_cos,release_month_cos,release_month,-0.5000000000000004,0.008905217982828617,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_3,key,key,0.0,-0.007319693453609943,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,release_precision_month,release_precision,release_precision,0.0,-0.007067056372761726,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_10,key,key,0.0,-0.00534568727016449,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_5,key,key,0.0,0.004913774784654379,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,key_4,key,key,0.0,-0.0032081101089715958,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,duration_squared,duration_squared,duration_min,19.950515559999996,0.00192010507453233,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,explicit_True,explicit,explicit,0.0,-1.692484693194274e-05,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,time_signature_1.0,time_signature,time_signature,0.0,-1.2920191693410743e-05,DECREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,mode_1,mode,mode,1.0,1.0760035365819931e-05,INCREASE_PREDICTION,MAPPED
case_003,7Huqz8HsG7j2gk9INLvhRI,time_signature_5.0,time_signature,time_signature,0.0,3.839855708065443e-06,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,release_year,release_year,release_year,2016.0,8.909052848815918,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,speechiness,speechiness,speechiness,0.336,-1.207153558731079,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,acousticness,acousticness,acousticness,0.0786,1.2038803100585938,INCREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,loudness_energy,loudness_energy,loudness×energy,-8.33875,-0.8470428586006165,DECREASE_PREDICTION,MAPPED
case_004,1VvfQMzVpJ0yLOFgiWNp7O,duration_min,duration_min,duration_min,7.1276,0.7711163759231567,INCREASE_PREDICTION,MAPPED
